Call Count,Called Phone Number,Start Time Min,Start Time Max,Total Duration,Call Start Time,Region,Division,City,Phone Line,Location,Marketing Source,Marketing Medium,Marketing Campaign,Marketing Search Terms,Google Click ID,Google GBRAID,Google Ads Customer ID,Google Analytics Session ID,Google Analytics ID 1,Google Analytics ID 2,Google WBRAID,Connected Duration,Total IVR Duration,Landing Page,Calling Page,Specialty,New Patient,Existing Patient,Not Answered by Agent,Appointment Booked,Appointment Rescheduled,ID name,Audio URL
1,877-214-8220,2026-08-02 14:34:59,2026-08-02 14:42:37,00:07:38,2026-08-02 14:35:28,Midwest,Southeast,Augusta,Mobile,Elizabeth Medical Center,Google Ad,Paid Search,Rated_Top_Oncology,pediatrician appointment today,hDsl2h2c0onu3uR7p,BkyqCxRauid2akSID,00GsN_6VJszAihDr7Injz,9x0tt4As4gCg,R4sCAK-kod86cIz,F-UE2eB61qQLx6wUYse,__,0:07:18,0:00:20,www.surfsidehealthcare.com/,www.surfsidehealthcare.com/pediatrics,Family Medicine,1,0,0,0,0,H6GNEGX,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/H6GNEGX.mp3
1,877-214-8220,2026-08-04 20:43:04,2026-08-04 20:44:26,00:01:22,2026-08-04 20:44:23,Midwest,Gulf Coast,Gulfport,Mobile,Associates Orthopedic Medicine,Google Ad,Paid Search,Trusted_Family_Care,urgent care near me,n8HYuszFa2nX371hfmx,iMc_v36E6Z1kuw,woSyOT3N6,Bna7U_h2JnNv,JvCqJ1AarBxt7,3-DRgTDSNg1ueJaP,__,0:01:00,0:00:22,www.surfsidehealthcare.com/oncology,www.surfsidehealthcare.com/urgent-care,Pediatrics,1,0,0,1,0,RNJAFSD,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/RNJAFSD.mp3
1,877-214-8220,2026-08-13 17:57:50,2026-08-13 18:09:09,00:11:19,2026-08-13 18:06:42,Midwest,Southeast,Savannah,Mobile,Elizabeth Medical Center,SFMC,Email,Urgent_Care_Open_Late,__,__,__,__,__,__,__,__,0:10:58,0:00:21,__,__,Urology,1,0,0,0,0,TGQQ6W7,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/TGQQ6W7.mp3
1,877-214-8220,2026-08-03 15:48:26,2026-08-03 15:55:16,00:06:50,2026-08-03 15:53:05,Northeast,New England,Manchester,Mobile,St. Luke's Orthopedic Center,SFMC,Email,Urgent_Care_Open_Late,__,__,__,__,__,__,__,__,0:06:36,0:00:14,__,__,0,0,0,1,0,0,GH93QZQ,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/GH93QZQ.mp3
1,877-214-8220,2026-08-02 15:46:46,2026-08-02 15:56:21,00:09:35,2026-08-02 15:52:43,Northeast,New England,Boston,Mobile,St. Luke's Orthopedic Center,SFMC,Email,Board_Certified_Specialists,__,__,__,__,__,__,__,__,0:09:13,0:00:22,__,__,Radiology,0,1,0,0,1,JPCB2Q7,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/JPCB2Q7.mp3
1,877-214-8220,2026-08-03 17:36:26,2026-08-03 17:42:03,00:05:37,2026-08-03 17:41:08,Midwest,Gulf Coast,Tampa,Mobile,Associates Orthopedic Medicine,Bing Ad,Paid Search,Board_Certified_Specialists,__,__,__,__,__,Nunj6IFfl,26ixLcfzYBR1bkJUc3,__,0:05:21,0:00:16,www.surfsidehealthcare.com/pediatrics,www.surfsidehealthcare.com/orthopedic,Lab,1,0,0,1,0,2C5JSF5,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/2C5JSF5.mp3
1,877-214-8220,2026-08-22 16:16:00,2026-08-22 16:21:23,00:05:23,2026-08-22 16:20:37,Midwest,Southeast,Augusta,Landline,Elizabeth Medical Center,Google Ad,Paid Search,Trusted_Family_Care,orthopedic doctor for knee pain,rzyB9k19Nf1_,OiLm3AKHLuE-XHCE3flDBO,4B5Mz4W5soDMk,NbUIQGBIdqQQ9l,mWEhoTLPQPYzYd_H9BzlB,0nekvUwcfz4W3n8sa-P,__,0:05:00,0:00:23,www.surfsidehealthcare.com/orthopedic,www.surfsidehealthcare.com/billing_and_administration,Lab,1,0,0,1,0,5TJBCD7,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/5TJBCD7.mp3
1,877-214-8220,2026-08-05 17:12:15,2026-08-05 17:17:44,00:05:29,2026-08-05 17:16:28,Midwest,Southeast,Nashville,Mobile,Elizabeth Medical Center,Google Ad,Paid Search,World_Class_Care,walk in clinic near me,z1i1veAUl,s9zQItCq6TTMsjYr,pF8kWWD2nvy-FG9RyQUaE,K1AMjQKeUjjxbK,MxB8gmG1q2clXyfpBgE9_Z,0qpFwLUdbDu,__,0:05:09,0:00:20,www.surfsidehealthcare.com/billing_and_administration,www.surfsidehealthcare.com/family_practice,Urology,1,0,0,1,0,6G5NK43,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/6G5NK43.mp3
1,877-214-8220,2026-08-18 13:23:42,2026-08-18 13:30:39,00:06:57,2026-08-18 13:24:54,Midwest,Southeast,Raleigh,Mobile,Elizabeth Medical Center,Google Ad,Paid Search,Compassionate_Care_Close_to_Home,walk in clinic near me,xUCsgL-mFPXhFpoKz3rORY,SZwrcE2y0780,fw7IRIPxvb54pNkLYB,o-54tAQRGM1EmAgh-F,qTsZBKWucO2H7l7OXDN2UZ,qfJi1Vn9db9P7icea6E49,__,0:06:47,0:00:10,www.surfsidehealthcare.com/family_practice,www.surfsidehealthcare.com/billing_and_administration,Radiology,0,1,0,0,0,NHCN37T,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/NHCN37T.mp3
1,877-214-8220,2026-08-17 13:40:32,2026-08-17 13:44:14,00:03:42,2026-08-17 13:40:58,Midwest,Gulf Coast,Biloxi,Mobile,Associates Orthopedic Medicine,Google Ad,Paid Search,Compassionate_Care_Close_to_Home,urgent care near me,V_bV1DikzKk-Uaw3SKS,GueAfiru-uryCR7Gfw,M7LC48y5ToCy59WQ,2RT1LzkuC,20SDAANFEHPYNZzD,2ZTwpEc9OZHeoJW-WQddIv,__,0:03:28,0:00:14,www.surfsidehealthcare.com/urgent-care,www.surfsidehealthcare.com/billing_and_administration,0,0,0,1,0,0,9M35MNA,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/9M35MNA.mp3
1,877-214-8220,2026-08-09 15:05:33,2026-08-09 15:05:54,00:00:21,2026-08-09 15:05:49,Midwest,Southeast,Nashville,Mobile,Elizabeth Medical Center,Prime Time Ad,TV Ad,Rated_Top_Oncology,__,__,__,__,__,__,__,__,0:00:00,0:00:21,__,__,Orthopedic,0,1,0,0,1,DGF8HJK,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/DGF8HJK.mp3
1,877-214-8220,2026-08-21 17:29:37,2026-08-21 17:34:42,00:05:05,2026-08-21 17:32:04,Midwest,Gulf Coast,Baton Rouge,Mobile,Associates Orthopedic Medicine,Facebook Ad,Paid Social,World_Class_Care,__,__,__,__,__,s_CKpmde9dxX,VOHR7x88FhHa2TsLVld,__,0:04:46,0:00:19,www.surfsidehealthcare.com/,www.surfsidehealthcare.com/billing_and_administration,Orthopedic,0,1,0,0,1,2BRMT9R,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/2BRMT9R.mp3
1,877-214-8220,2026-08-16 16:47:46,2026-08-16 17:02:14,00:14:28,2026-08-16 16:50:37,Northeast,New England,Springfield,Mobile,St. Luke's Orthopedic Center,Google Ad,Paid Search,Trusted_Family_Care,cancer specialist near me,za6zTRly1wTlxu2bzs,HjK4Xf4jXPTTLKRlRrM,HNpFF9arkOidG86-cyT0eh,BMFYoagbi7vdFG9-5jUBA,OeLMTRQninDUTlFkritaf,OnmiSZYAl0HVQDWjG7iZ5,__,0:14:14,0:00:14,www.surfsidehealthcare.com/urgent-care,www.surfsidehealthcare.com/pediatrics,0,0,0,1,0,0,KWSXZ97,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/KWSXZ97.mp3
1,877-214-8220,2026-08-25 18:08:47,2026-08-25 18:23:29,00:14:42,2026-08-25 18:13:16,Northeast,New England,Hartford,Mobile,St. Luke's Orthopedic Center,Google Ad,Paid Search,Pediatric_Specialists_Near_You,sports injury doctor,L-g6YjtcNHIOWBkPH,bvfFcP04X91Gtklm1V,99DOVE_8wqminIB,k0x49728PvzJ2Us,zNObbfsSfBFn7S1Z-e,cLQZJiR-O1-g6y,__,0:14:19,0:00:23,www.surfsidehealthcare.com/oncology,www.surfsidehealthcare.com/urgent-care,Radiology,0,1,0,0,1,NVWU3TW,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/NVWU3TW.mp3
1,877-214-8220,2026-08-12 17:59:10,2026-08-12 18:06:51,00:07:41,2026-08-12 17:59:34,Midwest,Gulf Coast,New Orleans,Landline,Associates Orthopedic Medicine,Google Ad,Paid Search,Rated_Top_Oncology,pediatrician appointment today,L4DcZrgqE,-3Th2Tkvhu917tb0g5,6GsEArdE,hQnoFMzBL7Xp_5hR,N5-t9UFppWJWMP7FRa,OlrHYtq2F,__,0:07:22,0:00:19,www.surfsidehealthcare.com/orthopedic,www.surfsidehealthcare.com/,Urology,1,0,0,1,0,VQGEMBQ,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/VQGEMBQ.mp3
1,877-214-8220,2026-08-17 11:49:43,2026-08-17 11:58:29,00:08:46,2026-08-17 11:54:49,Northeast,New England,Boston,Mobile,St. Luke's Orthopedic Center,Google Ad,Paid Search,Same_Day_Appointments,urgent care near me,DINY9myIn,xsu7ElHxObwuWI6eC9,gswQntqWFHpUYloR75,wTYVeU6sp3spE38RQj1,kdyi_odwTKXz1J,dtw6tmTvSRtHN52-DxO,__,0:08:25,0:00:21,www.surfsidehealthcare.com/oncology,www.surfsidehealthcare.com/urgent-care,Urology,0,1,0,0,1,3FB5SGD,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/3FB5SGD.mp3
1,877-214-8220,2026-08-23 09:53:57,2026-08-23 10:04:29,00:10:32,2026-08-23 09:55:38,Midwest,Southeast,Augusta,Mobile,Elizabeth Medical Center,Google Ad,Paid Search,Board_Certified_Specialists,cancer specialist near me,UfPC2tWh6SL4Dw,tm7LY_glKD7BdHpnPWO47,XWQ6jv8Ub3EYUR7t,KeanyEQ0oq,m5b9Ie58Kg5MOpL,65ZWw0603Qf-AX47,__,0:10:08,0:00:24,www.surfsidehealthcare.com/orthopedic,www.surfsidehealthcare.com/urgent-care,Oncology,1,0,0,1,0,XNW5Q2J,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/XNW5Q2J.mp3
1,877-214-8220,2026-08-18 16:09:04,2026-08-18 16:16:01,00:06:57,2026-08-18 16:12:30,Northeast,New England,Springfield,Mobile,St. Luke's Orthopedic Center,SFMC,Email,World_Class_Care,__,__,__,__,__,__,__,__,0:06:32,0:00:25,__,__,Family Medicine,0,1,0,0,1,PDXYVV2,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/PDXYVV2.mp3
1,877-214-8220,2026-08-02 12:34:42,2026-08-02 12:42:05,00:07:23,2026-08-02 12:41:05,Northeast,New England,Providence,Mobile,St. Luke's Orthopedic Center,Display Ad,Banner Ad,Now_Accepting_New_Patients,__,__,__,__,__,__,__,JorgdmW4Iz6RfYq_ZB,0:07:12,0:00:11,__,__,Radiology,1,0,0,1,0,ZKE4593,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/ZKE4593.mp3
1,877-214-8220,2026-08-08 19:08:08,2026-08-08 19:11:38,00:03:30,2026-08-08 19:11:30,Northeast,New England,Hartford,Mobile,St. Luke's Orthopedic Center,Google Ad,Paid Search,Orthopedic_Experts_You_Trust,childrens doctor near me,HqEOJeP-lQ,rMNt3Iozn4lRW-6,Mr30gli4cBeDwGOC6x,bg5djV_tdlQt9Y1e,9P7bWc5oAjRMMmE,kyrqTt-UFm3POLEMYQauvA,__,0:03:15,0:00:15,www.surfsidehealthcare.com/family_practice,www.surfsidehealthcare.com/oncology,Family Medicine,0,1,0,0,1,RTEGBEA,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/RTEGBEA.mp3
1,877-214-8220,2026-08-18 15:14:17,2026-08-18 15:16:08,00:01:51,2026-08-18 15:16:00,Midwest,Southeast,Nashville,Landline,Elizabeth Medical Center,Facebook Ad,Paid Social,Pediatric_Specialists_Near_You,__,__,__,__,__,gwLAKVu2jiDkLh0_K1sxx,Wz4-4ExCHdi,__,0:01:37,0:00:14,www.surfsidehealthcare.com/pediatrics,www.surfsidehealthcare.com/family_practice,Oncology,0,1,0,0,0,KQ6UJD6,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/KQ6UJD6.mp3
1,877-214-8220,2026-08-23 13:14:39,2026-08-23 13:20:39,00:06:00,2026-08-23 13:20:00,Midwest,Gulf Coast,Mobile,Landline,Associates Orthopedic Medicine,Google Ad,Paid Search,Same_Day_Appointments,same day appointment doctor,dld9ox2gSj9Fj,661Nsm6aPlMkGUq,NfbRN1N20yHmzQKPVriuyz,tF-e7LvCcaOtvCPWq6eCc,ZYC7Y9IE,wveGBJ2ZpeAyLQKj1L,__,0:05:43,0:00:17,www.surfsidehealthcare.com/family_practice,www.surfsidehealthcare.com/billing_and_administration,0,0,0,1,0,0,V3WVX6A,https://raw.githubusercontent.com/djuengstGH/Healthcare-demo-calls/main/V3WVX6A.mp3
